Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,627534,...,806.75,...,14.45,...
Sumatera Utara,602999,...,1239.71,...,8.15,...
Sumatera Barat,667925,...,340.37,...,5.95,...
Riau,658611,...,485.66,...,6.68,...
Jambi,599688,...,280.68,...,7.58,...
Sumatera Selatan,520754,...,1045.68,...,11.78,...
Bengkulu,637142,...,288.46,...,14.04,...
Lampung,559011,...,970.67,...,11.11,...
Kepulauan Bangka Belitung,874204,...,68.69,...,4.52,...
Kepulauan Riau,742526,...,142.5,...,5.69,...
DKI Jakarta,792515,...,477.83,...,4.44,...
Jawa Barat,495229,...,3888.6,...,7.62,...
Jawa Tengah,477580,...,3791.5,...,10.77,...
DI Yogyakarta,573022,...,448.47,...,11.04,...
Jawa Timur,507286,...,4188.81,...,10.35,...
Banten,618721,...,826.13,...,6.17,...
Bali,529643,...,193.78,...,4.25,...
Nusa Tenggara Barat,498996,...,751.23,...,13.85,...
Nusa Tenggara Timur,507203,...,1141.11,...,19.96,...
Kalimantan Barat,563288,...,353.35,...,6.71,...
Kalimantan Tengah,596184,...,142.17,...,5.11,...
Kalimantan Selatan,604266,...,188.93,...,4.29,...
Kalimantan Timur,790186,...,231.07,...,6.11,...
Kalimantan Utara,817876,...,47.97,...,6.45,...
Sulawesi Utara,463432,...,189,...,7.38,...
Sulawesi Tengah,568248,...,395.66,...,12.41,...
Sulawesi Selatan,436025,...,788.85,...,8.7,...
Sulawesi Tenggara,443980,...,321.53,...,11.43,...
Gorontalo,442194,...,183.71,...,15.15,...
Sulawesi Barat,433131,...,164.14,...,11.49,...
Maluku,684020,...,301.61,...,16.42,...
Maluku Utara,564733,...,83.8,...,6.46,...
Papua Barat,728619,...,214.98,...,20.49,...
Papua Barat Daya,...,...,...,...,...,...
Papua,686469,...,915.15,...,26.03,...
Papua Selatan,...,...,...,...,...,...
Papua Tengah,...,...,...,...,...,...
Papua Pegunungan,...,...,...,...,...,...
Indonesia,550458,...,25898.55,...,9.36,...
,,,,,,
Catatan,,,,,,
September 2023 tidak dilakukan penghitungan kemiskinan,,,,,,
