38 Provinsi,
,Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen)
,2024
ACEH,81.1
SUMATERA UTARA,85.73
SUMATERA BARAT,72.82
RIAU,86.32
JAMBI,83.97
SUMATERA SELATAN,82.36
BENGKULU,83.01
LAMPUNG,85.44
KEP. BANGKA BELITUNG,94.16
KEP. RIAU,91.23
DKI JAKARTA,94.01
JAWA BARAT,75.1
JAWA TENGAH,86.72
DI YOGYAKARTA,96.71
JAWA TIMUR,85.56
BANTEN,87.93
BALI,96.83
NUSA TENGGARA BARAT,86.8
NUSA TENGGARA TIMUR,77.66
KALIMANTAN BARAT,81.56
KALIMANTAN TENGAH,78.15
KALIMANTAN SELATAN,83.7
KALIMANTAN TIMUR,91.65
KALIMANTAN UTARA,85.17
SULAWESI UTARA,87.31
SULAWESI TENGAH,77.4
SULAWESI SELATAN,93.83
SULAWESI TENGGARA,90.62
GORONTALO,82.99
SULAWESI BARAT,82.52
MALUKU,80.51
MALUKU UTARA,82.32
PAPUA BARAT,79
PAPUA BARAT DAYA,77.84
PAPUA,80.57
PAPUA SELATAN,60.85
PAPUA TENGAH,41.44
PAPUA PEGUNUNGAN,12.61
INDONESIA,83.6
