Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,34674
Sumatera Utara,57442
Sumatera Barat,45218
Riau,129741
Jambi,64771
Sumatera Selatan,57745
Bengkulu,39167
Lampung,40807
Kepulauan Bangka Belitung,58406
Kepulauan Riau,131884
DKI Jakarta,274660
Jawa Barat,45234
Jawa Tengah,38568
DI Yogyakarta,40516
Jawa Timur,59988
Banten,55383
Bali,50758
Nusa Tenggara Barat,26009
Nusa Tenggara Timur,20555
Kalimantan Barat,42253
Kalimantan Tengah,62834
Kalimantan Selatan,48066
Kalimantan Timur,183158
Kalimantan Utara,157092
Sulawesi Utara,54034
Sulawesi Tengah,82017
Sulawesi Selatan,59503
Sulawesi Tenggara,52436
Gorontalo,37087
Sulawesi Barat,35195
Maluku,26153
Maluku Utara,40381
Papua Barat,74022
Papua Barat Daya,...
Papua,54051
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
