Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,43782 (*)
Sumatera Utara,73575 (*)
Sumatera Barat,57083 (*)
Riau,165350 (*)
Jambi,86775 (*)
Sumatera Selatan,75132 (*)
Bengkulu,49233 (*)
Lampung,51387 (*)
Kepulauan Bangka Belitung,70193 (*)
Kepulauan Riau,161424 (*)
DKI Jakarta,344383 (*)
Jawa Barat,56082 (*)
Jawa Tengah,47970 (*)
DI Yogyakarta,51486 (*)
Jawa Timur,75770 (*)
Banten,70276 (*)
Bali,67318 (*)
Nusa Tenggara Barat,32282 (*)
Nusa Tenggara Timur,24303 (*)
Kalimantan Barat,52703 (*)
Kalimantan Tengah,79320 (*)
Kalimantan Selatan,67122 (*)
Kalimantan Timur,212117 (*)
Kalimantan Utara,198677 (*)
Sulawesi Utara,69352 (*)
Sulawesi Tengah,120750 (*)
Sulawesi Selatan,73573 (*)
Sulawesi Tenggara,67840 (*)
Gorontalo,44437 (*)
Sulawesi Barat,42718 (*)
Maluku,32199 (*)
Maluku Utara,71517 (*)
Papua Barat,131636 (*)
Papua Barat Daya,59064 (*)
Papua,81009 (*)
Papua Selatan,61622 (*)
Papua Tengah,118774 (*)
Papua Pegunungan,18105 (*)
,
Catatan,
Perbedaan,
antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh,
diskrepansi statistik.,
