id,kode_provinsi,nama_provinsi,prevalensi_balita_stunting,satuan,tahun
1,11,ACEH,33.2,PERSEN,2021
2,12,SUMATERA UTARA,25.8,PERSEN,2021
3,13,SUMATERA BARAT,23.3,PERSEN,2021
4,14,RIAU,22.3,PERSEN,2021
5,15,JAMBI,22.4,PERSEN,2021
6,16,SUMATERA SELATAN,24.8,PERSEN,2021
7,17,BENGKULU,22.1,PERSEN,2021
8,18,LAMPUNG,18.5,PERSEN,2021
9,19,KEPULAUAN BANGKA BELITUNG,18.6,PERSEN,2021
10,21,KEPULAUAN RIAU,17.6,PERSEN,2021
11,31,DKI JAKARTA,16.8,PERSEN,2021
12,32,JAWA BARAT,24.5,PERSEN,2021
13,33,JAWA TENGAH,20.9,PERSEN,2021
14,34,DI YOGYAKARTA,17.3,PERSEN,2021
15,35,JAWA TIMUR,23.5,PERSEN,2021
16,36,BANTEN,24.5,PERSEN,2021
17,51,BALI,10.9,PERSEN,2021
18,52,NUSA TENGGARA BARAT,31.4,PERSEN,2021
19,53,NUSA TENGGARA TIMUR,37.8,PERSEN,2021
20,61,KALIMANTAN BARAT,29.8,PERSEN,2021
21,62,KALIMANTAN TENGAH,27.4,PERSEN,2021
22,63,KALIMANTAN SELATAN,30.0,PERSEN,2021
23,64,KALIMANTAN TIMUR,22.8,PERSEN,2021
24,65,KALIMANTAN UTARA,27.5,PERSEN,2021
25,71,SULAWESI UTARA,21.6,PERSEN,2021
26,72,SULAWESI TENGAH,29.7,PERSEN,2021
27,73,SULAWESI SELATAN,27.4,PERSEN,2021
28,74,SULAWESI TENGGARA,30.2,PERSEN,2021
29,75,GORONTALO,29.0,PERSEN,2021
30,76,SULAWESI BARAT,33.8,PERSEN,2021
31,81,MALUKU,28.7,PERSEN,2021
32,82,MALUKU UTARA,27.5,PERSEN,2021
33,91,PAPUA BARAT,26.2,PERSEN,2021
34,94,PAPUA,29.5,PERSEN,2021
35,11,ACEH,31.2,PERSEN,2022
36,12,SUMATERA UTARA,21.1,PERSEN,2022
37,13,SUMATERA BARAT,25.2,PERSEN,2022
38,14,RIAU,17.0,PERSEN,2022
39,15,JAMBI,18.0,PERSEN,2022
40,16,SUMATERA SELATAN,18.6,PERSEN,2022
41,17,BENGKULU,19.8,PERSEN,2022
42,18,LAMPUNG,15.2,PERSEN,2022
43,19,KEPULAUAN BANGKA BELITUNG,18.5,PERSEN,2022
44,21,KEPULAUAN RIAU,15.4,PERSEN,2022
45,31,DKI JAKARTA,14.8,PERSEN,2022
46,32,JAWA BARAT,20.2,PERSEN,2022
47,33,JAWA TENGAH,20.8,PERSEN,2022
48,34,DI YOGYAKARTA,16.4,PERSEN,2022
49,35,JAWA TIMUR,19.2,PERSEN,2022
50,36,BANTEN,20.0,PERSEN,2022
51,51,BALI,8.0,PERSEN,2022
52,52,NUSA TENGGARA BARAT,32.7,PERSEN,2022
53,53,NUSA TENGGARA TIMUR,0.0,PERSEN,2022
54,61,KALIMANTAN BARAT,27.8,PERSEN,2022
55,62,KALIMANTAN TENGAH,26.9,PERSEN,2022
56,63,KALIMANTAN SELATAN,24.6,PERSEN,2022
57,64,KALIMANTAN TIMUR,23.9,PERSEN,2022
58,65,KALIMANTAN UTARA,22.1,PERSEN,2022
59,71,SULAWESI UTARA,20.5,PERSEN,2022
60,72,SULAWESI TENGAH,28.2,PERSEN,2022
61,73,SULAWESI SELATAN,27.2,PERSEN,2022
62,74,SULAWESI TENGGARA,27.7,PERSEN,2022
63,75,GORONTALO,23.8,PERSEN,2022
64,76,SULAWESI BARAT,35.0,PERSEN,2022
65,81,MALUKU,26.1,PERSEN,2022
66,82,MALUKU UTARA,26.1,PERSEN,2022
67,91,PAPUA BARAT,30.0,PERSEN,2022
68,94,PAPUA,34.6,PERSEN,2022
69,11,ACEH,29.4,PERSEN,2023
70,12,SUMATERA UTARA,18.9,PERSEN,2023
71,13,SUMATERA BARAT,23.6,PERSEN,2023
72,14,RIAU,13.6,PERSEN,2023
73,15,JAMBI,13.5,PERSEN,2023
74,16,SUMATERA SELATAN,20.3,PERSEN,2023
75,17,BENGKULU,20.2,PERSEN,2023
76,18,LAMPUNG,14.9,PERSEN,2023
77,19,KEPULAUAN BANGKA BELITUNG,20.6,PERSEN,2023
78,21,KEPULAUAN RIAU,16.8,PERSEN,2023
79,31,DKI JAKARTA,17.6,PERSEN,2023
80,32,JAWA BARAT,21.7,PERSEN,2023
81,33,JAWA TENGAH,20.7,PERSEN,2023
82,34,DI YOGYAKARTA,18.0,PERSEN,2023
83,35,JAWA TIMUR,17.7,PERSEN,2023
84,36,BANTEN,24.0,PERSEN,2023
85,51,BALI,7.2,PERSEN,2023
86,52,NUSA TENGGARA BARAT,24.6,PERSEN,2023
87,53,NUSA TENGGARA TIMUR,37.9,PERSEN,2023
88,61,KALIMANTAN BARAT,24.5,PERSEN,2023
89,62,KALIMANTAN TENGAH,23.5,PERSEN,2023
90,63,KALIMANTAN SELATAN,24.7,PERSEN,2023
91,64,KALIMANTAN TIMUR,22.9,PERSEN,2023
92,65,KALIMANTAN UTARA,17.4,PERSEN,2023
93,71,SULAWESI UTARA,21.3,PERSEN,2023
94,72,SULAWESI TENGAH,27.2,PERSEN,2023
95,73,SULAWESI SELATAN,27.4,PERSEN,2023
96,74,SULAWESI TENGGARA,30.0,PERSEN,2023
97,75,GORONTALO,26.9,PERSEN,2023
98,76,SULAWESI BARAT,30.3,PERSEN,2023
99,81,MALUKU,28.4,PERSEN,2023
100,82,MALUKU UTARA,23.7,PERSEN,2023
101,91,PAPUA BARAT,24.8,PERSEN,2023
102,92,PAPUA BARAT DAYA,31.0,PERSEN,2023
103,94,PAPUA,28.6,PERSEN,2023
104,95,PAPUA SELATAN,25.0,PERSEN,2023
105,96,PAPUA TENGAH,39.4,PERSEN,2023
106,97,PAPUA PEGUNUNGAN,37.3,PERSEN,2023
107,11,ACEH,28.6,PERSEN,2024
108,12,SUMATERA UTARA,22.0,PERSEN,2024
109,13,SUMATERA BARAT,24.9,PERSEN,2024
110,14,RIAU,20.1,PERSEN,2024
111,15,JAMBI,17.1,PERSEN,2024
112,16,SUMATERA SELATAN,15.8,PERSEN,2024
113,17,BENGKULU,18.8,PERSEN,2024
114,18,LAMPUNG,15.9,PERSEN,2024
115,19,KEPULAUAN BANGKA BELITUNG,20.1,PERSEN,2024
116,21,KEPULAUAN RIAU,15.0,PERSEN,2024
117,31,DKI JAKARTA,17.2,PERSEN,2024
118,32,JAWA BARAT,15.9,PERSEN,2024
119,33,JAWA TENGAH,17.0,PERSEN,2024
