id,kode_provinsi,nama_provinsi,rata_rata_lama_sekolah,satuan,tahun
375,11,ACEH,9.37,TAHUN,2021
376,12,SUMATERA UTARA,9.58,TAHUN,2021
377,13,SUMATERA BARAT,9.07,TAHUN,2021
378,14,RIAU,9.19,TAHUN,2021
379,15,JAMBI,8.6,TAHUN,2021
380,16,SUMATERA SELATAN,8.3,TAHUN,2021
381,17,BENGKULU,8.87,TAHUN,2021
382,18,LAMPUNG,8.08,TAHUN,2021
383,19,KEPULAUAN BANGKA BELITUNG,8.08,TAHUN,2021
384,21,KEPULAUAN RIAU,10.18,TAHUN,2021
385,31,DKI JAKARTA,11.17,TAHUN,2021
386,32,JAWA BARAT,8.61,TAHUN,2021
387,33,JAWA TENGAH,7.75,TAHUN,2021
388,34,DI YOGYAKARTA,9.64,TAHUN,2021
389,35,JAWA TIMUR,7.88,TAHUN,2021
390,36,BANTEN,8.93,TAHUN,2021
391,51,BALI,9.06,TAHUN,2021
392,52,NUSA TENGGARA BARAT,7.38,TAHUN,2021
393,53,NUSA TENGGARA TIMUR,7.69,TAHUN,2021
394,61,KALIMANTAN BARAT,7.45,TAHUN,2021
395,62,KALIMANTAN TENGAH,8.64,TAHUN,2021
396,63,KALIMANTAN SELATAN,8.34,TAHUN,2021
397,64,KALIMANTAN TIMUR,9.84,TAHUN,2021
398,65,KALIMANTAN UTARA,9.11,TAHUN,2021
399,71,SULAWESI UTARA,9.62,TAHUN,2021
400,72,SULAWESI TENGAH,8.89,TAHUN,2021
401,73,SULAWESI SELATAN,8.46,TAHUN,2021
402,74,SULAWESI TENGGARA,9.13,TAHUN,2021
403,75,GORONTALO,7.9,TAHUN,2021
404,76,SULAWESI BARAT,7.96,TAHUN,2021
405,81,MALUKU,10.03,TAHUN,2021
406,82,MALUKU UTARA,9.09,TAHUN,2021
407,91,PAPUA BARAT,7.69,TAHUN,2021
408,94,PAPUA,6.76,TAHUN,2021
409,11,ACEH,9.44,TAHUN,2022
410,12,SUMATERA UTARA,9.71,TAHUN,2022
411,13,SUMATERA BARAT,9.18,TAHUN,2022
412,14,RIAU,9.22,TAHUN,2022
413,15,JAMBI,8.68,TAHUN,2022
414,16,SUMATERA SELATAN,8.37,TAHUN,2022
415,17,BENGKULU,8.91,TAHUN,2022
416,18,LAMPUNG,8.18,TAHUN,2022
417,19,KEPULAUAN BANGKA BELITUNG,8.11,TAHUN,2022
418,21,KEPULAUAN RIAU,10.37,TAHUN,2022
419,31,DKI JAKARTA,11.31,TAHUN,2022
420,32,JAWA BARAT,8.78,TAHUN,2022
421,33,JAWA TENGAH,7.93,TAHUN,2022
422,34,DI YOGYAKARTA,9.75,TAHUN,2022
423,35,JAWA TIMUR,8.03,TAHUN,2022
424,36,BANTEN,9.13,TAHUN,2022
425,51,BALI,9.39,TAHUN,2022
426,52,NUSA TENGGARA BARAT,7.61,TAHUN,2022
427,53,NUSA TENGGARA TIMUR,7.7,TAHUN,2022
428,61,KALIMANTAN BARAT,7.59,TAHUN,2022
429,62,KALIMANTAN TENGAH,8.65,TAHUN,2022
430,63,KALIMANTAN SELATAN,8.46,TAHUN,2022
431,64,KALIMANTAN TIMUR,9.92,TAHUN,2022
432,65,KALIMANTAN UTARA,9.27,TAHUN,2022
433,71,SULAWESI UTARA,9.68,TAHUN,2022
434,72,SULAWESI TENGAH,8.89,TAHUN,2022
435,73,SULAWESI SELATAN,8.63,TAHUN,2022
436,74,SULAWESI TENGGARA,9.25,TAHUN,2022
437,75,GORONTALO,8.02,TAHUN,2022
438,76,SULAWESI BARAT,8.08,TAHUN,2022
439,81,MALUKU,10.19,TAHUN,2022
440,82,MALUKU UTARA,9.24,TAHUN,2022
441,91,PAPUA BARAT,7.84,TAHUN,2022
442,94,PAPUA,7.02,TAHUN,2022
443,11,ACEH,9.55,TAHUN,2023
444,12,SUMATERA UTARA,9.82,TAHUN,2023
445,13,SUMATERA BARAT,9.28,TAHUN,2023
446,14,RIAU,9.32,TAHUN,2023
447,15,JAMBI,8.81,TAHUN,2023
448,16,SUMATERA SELATAN,8.5,TAHUN,2023
449,17,BENGKULU,9.03,TAHUN,2023
450,18,LAMPUNG,8.29,TAHUN,2023
451,19,KEPULAUAN BANGKA BELITUNG,8.25,TAHUN,2023
452,21,KEPULAUAN RIAU,10.41,TAHUN,2023
453,31,DKI JAKARTA,11.45,TAHUN,2023
454,32,JAWA BARAT,8.83,TAHUN,2023
455,33,JAWA TENGAH,8.01,TAHUN,2023
456,34,DI YOGYAKARTA,9.83,TAHUN,2023
457,35,JAWA TIMUR,8.11,TAHUN,2023
458,36,BANTEN,9.15,TAHUN,2023
459,51,BALI,9.45,TAHUN,2023
460,52,NUSA TENGGARA BARAT,7.74,TAHUN,2023
461,53,NUSA TENGGARA TIMUR,7.82,TAHUN,2023
462,61,KALIMANTAN BARAT,7.71,TAHUN,2023
463,62,KALIMANTAN TENGAH,8.73,TAHUN,2023
464,63,KALIMANTAN SELATAN,8.55,TAHUN,2023
465,64,KALIMANTAN TIMUR,9.99,TAHUN,2023
466,65,KALIMANTAN UTARA,9.34,TAHUN,2023
467,71,SULAWESI UTARA,9.77,TAHUN,2023
468,72,SULAWESI TENGAH,8.96,TAHUN,2023
469,73,SULAWESI SELATAN,8.76,TAHUN,2023
470,74,SULAWESI TENGGARA,9.31,TAHUN,2023
471,75,GORONTALO,8.1,TAHUN,2023
